Algorithm,Vertices,Density,DegreeBounds,Cost,Time
BruteForce,"{0, 1, 2, 3, 4, 5}",0.6,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2}",33,0.0015037059783935547
Greedy,"{0, 1, 2, 3, 4, 5}",0.6,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2}",46,2.09808349609375e-05
LocalSearch,"{0, 1, 2, 3, 4, 5}",0.6,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2}",33,0.0002486705780029297
SimulatedAnnealing,"{0, 1, 2, 3, 4, 5}",0.6,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2}",33,0.046690940856933594
TabuSearch,"{0, 1, 2, 3, 4, 5}",0.6,"{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2}",33,0.5406384468078613
BruteForce,"{0, 1, 2, 3, 4, 5, 6, 7}",0.5714285714285714,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3}",25,0.13931560516357422
Greedy,"{0, 1, 2, 3, 4, 5, 6, 7}",0.5714285714285714,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3}",68,4.482269287109375e-05
LocalSearch,"{0, 1, 2, 3, 4, 5, 6, 7}",0.5714285714285714,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3}",25,0.0008895397186279297
SimulatedAnnealing,"{0, 1, 2, 3, 4, 5, 6, 7}",0.5714285714285714,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3}",25,0.06611871719360352
TabuSearch,"{0, 1, 2, 3, 4, 5, 6, 7}",0.5714285714285714,"{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3}",25,1.3340590000152588
